x,u_fom,u_manifold_galerkin,u_manifold_lspg,u_pod_lspg
0,0,0,0,0
0.015625,-0.002843638708,-0.002594269704,-0.001427312243,-0.002711769813
0.03125,-0.00556394527,-0.005114775411,-0.002764246018,-0.005329220192
0.046875,-0.008163638035,-0.007471103707,-0.004003998602,-0.007854479634
0.0625,-0.01064536126,-0.00978962887,-0.005188834862,-0.01028960987
0.078125,-0.01301153835,-0.01190752242,-0.006335702076,-0.01263648386
0.09375,-0.01526424395,-0.01392443095,-0.007293529817,-0.01489665963
0.109375,-0.01740509868,-0.01600013687,-0.00808449956,-0.01707123329
0.125,-0.01943518958,-0.01790262056,-0.008687827853,-0.0191606549
0.140625,-0.0213550179,-0.01964582983,-0.009255670185,-0.02116452196
0.15625,-0.02316447519,-0.02135767152,-0.009719066238,-0.02308143385
0.171875,-0.02486284715,-0.02290545937,-0.01032631871,-0.02490905185
0.1875,-0.02644884417,-0.02420860304,-0.01085044276,-0.02664446527
0.203125,-0.02792065601,-0.02541276115,-0.01125870675,-0.02828475693
0.21875,-0.02927602784,-0.02674901368,-0.01160510065,-0.0298273669
0.234375,-0.03051235367,-0.02782244762,-0.01167905197,-0.03126954939
0.25,-0.03162678304,-0.0287529379,-0.01160683981,-0.0326059382
0.265625,-0.03261633631,-0.02989504219,-0.01158773491,-0.03382431171
0.28125,-0.03347802395,-0.03058246845,-0.01136959092,-0.03490433414
0.296875,-0.03420896491,-0.03138689985,-0.01094350942,-0.03582569262
0.3125,-0.03480649968,-0.03198941604,-0.0104105457,-0.03657934838
0.328125,-0.03526829386,-0.03246307989,-0.009753609782,-0.03716793328
0.34375,-0.03559242832,-0.03263169212,-0.009045760704,-0.03760067584
0.359375,-0.03577747293,-0.03328730621,-0.008318620413,-0.03789231627
0.375,-0.03582254121,-0.03284398177,-0.007747150582,-0.03805640711
0.390625,-0.03572732402,-0.03281001091,-0.007254023471,-0.03809711086
0.40625,-0.03549210112,-0.03222424334,-0.006735537806,-0.03801079039
0.421875,-0.03511773037,-0.03203326812,-0.006150915969,-0.03779097793
0.4375,-0.03460561467,-0.03130077661,-0.005477199481,-0.03743403019
0.453125,-0.03395764807,-0.03060558599,-0.004612014194,-0.03694292036
0.46875,-0.03317614276,-0.02980785826,-0.003611708011,-0.03632246997
0.484375,-0.03226374104,-0.02865068803,-0.002598073756,-0.03557225328
0.5,-0.0312233261,-0.02782085936,-0.001499599122,-0.0346881185
0.515625,-0.03005800599,-0.02652926413,-0.0003581084506,-0.03367064186
0.53125,-0.02877150915,-0.02552497605,0.0006802563588,-0.03253323459
0.546875,-0.02737010689,-0.02444441589,0.001892933485,-0.03130939553
0.5625,-0.02586837809,-0.02312653505,0.003118622784,-0.03005332663
0.578125,-0.0243006297,-0.02189790769,0.004305005884,-0.02882318901
0.59375,-0.02273341975,-0.02058632115,0.005489508686,-0.02766066302
0.609375,-0.02126391317,-0.01993991166,0.006303476569,-0.02658451902
0.625,-0.01998959079,-0.01868990289,0.007176754953,-0.02559234071
0.640625,-0.01896045848,-0.01804829396,0.007956116641,-0.02466677589
0.65625,-0.01815189611,-0.01780138004,0.008567331063,-0.02378130245
0.671875,-0.01748167268,-0.01704736133,0.009169372799,-0.02289973513
0.6875,-0.01684633744,-0.01626572183,0.009429443472,-0.0219784552
0.703125,-0.01613997491,-0.01534637296,0.009511040684,-0.0209748903
0.71875,-0.01526625235,-0.01421924653,0.009582817186,-0.01985687335
0.734375,-0.0141704745,-0.01344171932,0.009635228517,-0.01861155249
0.75,-0.01286985598,-0.01215166357,0.00983479263,-0.01725104969
0.765625,-0.0114440292,-0.01098445865,0.01005510098,-0.01580853801
0.78125,-0.009990829866,-0.009687725954,0.01015006527,-0.01432644043
0.796875,-0.008585833354,-0.00830793942,0.0102265694,-0.01284528364
0.8125,-0.007270136801,-0.007271347659,0.01008749413,-0.01139772698
0.828125,-0.006059592264,-0.006140480882,0.009772809513,-0.01000671188
0.84375,-0.004957983262,-0.004983847494,0.009317702271,-0.008686073126
0.859375,-0.003965216577,-0.00413262536,0.008744702034,-0.007442767759
0.875,-0.003080641748,-0.003241435851,0.008101167815,-0.006279670219
0.890625,-0.0023040237,-0.002478226055,0.00744541873,-0.005197867655
0.90625,-0.001635757747,-0.001837965924,0.006818340792,-0.004198035826
0.921875,-0.001076893084,-0.001239012904,0.006025035844,-0.003281065719
0.9375,-0.0006291021638,-0.000824529592,0.005039752537,-0.00244827271
0.953125,-0.0002946213627,-0.0004684173987,0.003932986009,-0.00170142479
0.96875,-7.616859068e-05,-0.0001554664271,0.002691652398,-0.001042702352
0.984375,2.315853917e-05,-2.819195371e-06,0.001367307173,-0.0004746308539
1,0,0,0,0
